Area,Price,Avg ratings
Delhi,266.6666666666667,3.966666666666667
Dhakuria,375.0,4.075
Dhanakawadi,300.0,2.9
Dhankawadi,269.5652173913044,3.5521739130434784
Dharavi,330.0,3.1799999999999997
Dhole Patil Road,150.0,4.5
Dilsukhnagar,252.94117647058823,4.041176470588235
Dindoli,300.0,2.9
Domlur,298.3333333333333,3.9904761904761905
Dr.Radhakrishnan Salai-Mylapore,300.0,3.9
Drive In Road,500.0,4.1
Dudheshwar,250.0,3.5
Dum Dum,244.44444444444446,3.9444444444444446
Dum Dum Park,200.0,2.9
Dumdum,277.741935483871,3.287096774193548
Ea Mall Royapettah,700.0,4.3
East Kolkata Township,295.8333333333333,3.9250000000000003
Egmore,328.0701754385965,3.8473684210526318
Ejipura,278.57142857142856,3.5857142857142854
Ekdalia,400.0,4.7
Elgin,490.4761904761905,3.7809523809523813
Ellisbridge,428.0,3.826
Entally,270.75,3.858333333333333
Erandwane,336.53846153846155,3.9076923076923076
Esplanade,310.0,4.5
Express Avenue Mall,600.0,4.5
Fathima Nagar,200.0,2.9
Fc Road,300.0,4.25
Fdl_Scruz Bandra East,300.0,2.9
Feelkhana,300.0,4.0
Film Nagar,700.0,3.825
Frazer Town,283.1666666666667,3.125
Gaddi Annaram,300.0,2.9
Gaddiannaram,212.5,3.95
Gandhi Bazaar,150.0,4.3
Gandhi Nagar,450.0,3.630769230769231
Gandhinagar,150.0,4.4
Ganesh Peth,150.0,2.9
Ganga Dham,287.5,3.475
Ganganagar,350.3333333333333,4.133333333333334
Ganj Peth,220.0,4.4
Garfa,320.0,3.88
Gariahat,436.8421052631579,3.9842105263157896
Garodia Nagar,100.0,2.9
Gautam Buddha Nagar,300.0,2.9
George Town,273.47058823529414,3.488235294117647
Ghansi Bazaar,260.0,4.14
Ghatkopar,270.0,3.6799999999999997
Ghatkopar Ck Mum,250.0,2.9
Ghatkopar East,376.74418604651163,3.883720930232558
Ghatkopar Vikhroli,250.0,3.076190476190476
Ghatkopar West,435.96,3.784
Ghatlodia,250.0,2.9
Ghod Dod Road,250.0,4.1
Ghod Dod Road Sarelawadi,300.0,2.9
Ghodasar,0.0,4.0
Ghorpadi,383.3333333333333,4.266666666666667
Gidc Naroda,250.0,3.25
Girdhar Nagar,550.0,4.2
Girish Park,300.0,4.9
Gobra,310.0,4.180000000000001
Gokhalenagar,268.75,3.3125
Golconda Fort,205.0,4.15
Golf Green,200.0,4.4
Golpark,390.90909090909093,3.9045454545454543
Gomtipur,250.0,4.2
Gopalapuram,341.1764705882353,4.152941176470588
Gopipura,235.83333333333334,3.7416666666666667
Govandi East,350.0,3.875
Gowliguda,375.0,3.4
Gowlipura,225.0,4.05
Gudimalkapur,300.0,4.05
Gulbai Tekra,420.8333333333333,4.183333333333334
Gultekdi,410.0,3.88
Gunrock Enclave,200.0,3.6
Gunti Jangaiah Nagar,300.0,3.5
Guru Nanak Nagar,287.5,3.275
Gurukul,266.5,3.85
Guttahalli,283.3333333333333,3.233333333333333
Habsiguda,328.57142857142856,4.0285714285714285
Hadapsar,275.0,4.025
Hakimpet,200.0,3.9
Halsuru,350.0,2.9
Haltu,357.14285714285717,3.2857142857142856
Haripura,200.0,4.166666666666667
Hatibagan,238.0,3.8599999999999994
Hatkeshwar,350.0,4.3
Hedua,175.0,3.6500000000000004
Himayat Nagar,350.0,2.9
Himayath Nagar,267.4782608695652,3.467391304347826
